Category,Item,Exact Model,Qty,Link,Notes
Compute & Sensing,Raspberry Pi,Raspberry Pi 5 - 8 GB,1,https://vilros.com/products/raspberry-pi-5?variant=40065551302750,
Compute & Sensing,2D LiDAR,RPLiDAR C1,1,https://www.amazon.com/gp/product/B0CMTXV5RC/ref=ewc_pr_img_4?smid=A3FZJTJP2FUJVA&psc=1,
Compute & Sensing,Camera,Arducam Camera 3 Module 3 (IMX708) Autofocus,1,https://www.amazon.com/gp/product/B0BRY6MVXL/ref=ewc_pr_img_16?smid=A2FWW0KR82G0IH&th=1,
Compute & Sensing,IMU,MPU-6050,1,https://www.adafruit.com/product/3886,
Compute & Sensing,SD Card,SANDISK Ultra 128GB microSD,1,https://www.amazon.com/gp/product/B0G8LLXFJH/ref=ewc_pr_img_1?smid=ATVPDKIKX0DER&th=1,"This just the one I had, may be overkill"
Drive Base ,Tracked Chassis,Shock Absorption Robot Tank Car Chassis for Raspberry Pi Encoder DC motors,1,https://www.amazon.com/Professional-Absorption-Raspberry-Suspension-Absorbing/dp/B0B6ZFQHF4/ref=sr_1_3_sspa?crid=81U8F7T0D6W5&dib=eyJ2IjoiMSJ9.3HVktXwvQcQ3I2m8qOUWh8hxjnF8Mv2K4LxRXa4C7yN3C24-W61eMxoCYDt47O8RxEYlIggD8vhcmgSJATwMYKKJaNOZQtz1bzzRAOg2TqU9DS1dl0EvL9hfxM9OnOXh_bmA8nsoBD7u3Dv0kXZ9xlRCQWAF3KD0ciArgceYlTnUlkabRu7ZCd1pvhOhEPUQmBwZamdTbRywaIaql2OcPcV1GTJ9oRGY_7bewAqeJ4U.Bdk8Tdrw89l5M_Ss-3zoIiVEr9VDfZAF4AD6buwBbaQ&dib_tag=se&keywords=tracked+chassis+encoder+robotics+shock+absorbing&qid=1784819489&sprefix=tracked+chassis+encoder+robotics+shock+abosorbi%2Caps%2C221&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,
Drive Base,Motor Driver,Cytron MDD10A dual-channel 10A (30A peak) 5-30V,1,https://www.robotshop.com/products/cytron-10a-5-30v-dual-channel-dc-motor-driver?gad_source=1&gad_campaignid=20145188159&gbraid=0AAAAAD_f_xw6mqslHBI1Qtn1pN4mDlzTA&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa0qG5aJnJ8_00IfUaGbCfzND48zp5Ixgh1wibliYBRqHXeUPHs6aFgaAiUkEALw_wcB,
Drive Base,Raspberry Pi Pico,Raspberry Pi Pico H - Pico with Headers Soldered,1,https://www.adafruit.com/product/5525,
Manipulator,Arm+uproot servos,"40KG Digital Servo, DS3240MG 2 pack",1,https://www.amazon.com/HOOYIJ-DS3240MG-Waterproof-Steering-Airplane/dp/B0CNZRZY37/ref=sr_1_1?channelId=500&clpRedir=Y&dib=eyJ2IjoiMSJ9.Xk1debpYRQMKMvZCr0C1rCK-v0vJ3Hrn0LsX5wpUCYi4yJwSxn9mP-qb8J3H760_FKjdDwyU-YzMkWh_XXi6klwomAYqayS7nJdYyoGcqJmm8vFqcnf5XwtlNEZAr43rGI7YRBZgV0MTCezgMHbrp9jfwLiIMIseIJmVeiTBOzVhcUN1b-rcTCfVh5jH_EAfQ6KkoVIqhcbamnbquArUS3Is-NMiVCCJ7BBNgjt1dCM8VUeN-aFCHun4Coy555_c55cGvY5JJ71bVGhbBGIZZwTT7SlI3A2Lm5K-R_5a520.tK_vcrH2TlWZ0BmE0KRz6D9tX02YnOj0ox75f1sr5fI&dib_tag=se&keywords=50kg+servo&plpRedirect=mhFallback&qid=1783012003&sr=8-1,
Power,Main Batteries,5200 mAh Lipo Battery 3S 80C,1,https://www.amazon.com/EMEPOVGY-Battery-5200mAh-Connector-Vehicles/dp/B0FSXSJK56?ref_=ast_sto_dp&th=1,"Overkill, but actually cheaper + better reviews than weaker batteries"
Power,Balance Charger,B3 LiPo 2S-3S Battery Balancer Charger 7.4V-11.1V,1,https://www.amazon.com/dp/B0D1MYBRNB?lv=shuf&redirect=true&smid=A1MG99WTFKXLJ&psc=1&channelId=500&ref_=ewc_pr_img_1&plpRedirect=mhFallback,
